發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月12日 22時35分48秒,臺中市神岡區國道1號 168公里600.0公尺處北側向減速車道,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.689807,24.244319
110年01月12日 22時37分12秒,臺南市歸仁區八甲里文化街一段口 / 臺南市歸仁區八甲里大仁街,死亡1;受傷0,自用-小客車,120.300670,22.971547
110年01月13日 05時35分00秒,臺北市萬華區東園街 / 臺北市萬華區東園街,死亡1;受傷1,普通重型-機車;行人-人,121.497925,25.022701
110年01月13日 09時43分00秒,臺中市大肚區頂街里自由路 / 臺中市大肚區頂街里華山路,死亡1;受傷0,普通重型-機車;自用-小客車,120.547745,24.155704
110年01月13日 11時00分00秒,雲林縣西螺鎮河南里社口路埔心17號電桿處,死亡1;受傷0,普通重型-機車;自用-小客車,120.442779,23.792713
110年01月13日 11時13分37秒,新竹縣芎林鄉富林路口 / 新竹縣芎林鄉竹林路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.096835,24.750009
110年01月13日 16時01分00秒,高雄市鳥松區中正路 / 高雄市鳥松區大同路,死亡1;受傷1,營業用-曳引車;普通重型-機車;乘客-人,120.371218,22.653973
110年01月13日 17時07分00秒,高雄市湖內區中山路2段154號前0.0公尺前,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.228300,22.907570
110年01月14日 05時06分15秒,臺南市下營區後街里中正北路北側 / 臺南市下營區後街里人和二街西側,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小客車,120.261664,23.237488
110年01月14日 06時06分00秒,桃園市楊梅區高上里高上路1段67之1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.162883,24.937458
110年01月14日 07時34分00秒,臺中市大甲區龍泉里中山路二段930-1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.641973,24.401343
110年01月14日 08時20分00秒,臺中市大肚區王田里沙田路1段108號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車,120.576768,24.118855
110年01月14日 09時59分00秒,臺東縣卑南鄉和平路東側 / 臺東縣卑南鄉和平路北側,死亡1;受傷0,普通重型-機車;自用-大貨車,121.091829,22.787285
